id,INFORMAL_GROUP_ID,RECOMMENDED_SCIENTIFIC_NAME,COMMON_NAME,SYNONYM
336063,73,Caenogastropoda,,
341784,73,Cardiidae,,
341127,73,Decapodiformes,,
331945,73,Dexiarchia,,
341677,2,Enteropneusta,,
341545,73,Euheterodonta,,
339937,73,Heterobranchia,,
340640,73,Pulmonata,,
336166,73,Seguenzioidea,,
334368,73,Trochidae,,
338322,73,Vetigastropoda,,
336281,91,Aaptos,,
337389,91,Aaptos simplex,,
35105,1,Abacarus,,
129864,1,Abacarus hystrix,,
367131,5,Abarenicola,,
366554,5,Abarenicola claparedi,,
89182,39,Abax,,
84339,39,Abax parallelepipedus,,
146916,39,Abax parallelus,,
232321,39,Abdera,,
137903,39,Abdera affinis,,
250892,39,Abdera biflexuosa,,
130792,39,Abdera flexuosa,,
177763,39,Abdera quadrifasciata,,
124621,39,Abdera triguttata,,
253077,27,Abelia,,
67585,27,Abelia uniflora,,
13758,5,Aberranta,,
21218,5,Aberranta sp.,,
45953,5,Aberrantidae,,
19863,48,Abia,,
257291,48,Abia candens,,
236421,48,Abia sericea,,
53002,73,Abida,,
45867,73,Abida secale,Large Chrysalis Snail,
209997,73,Abida secale ssp. secale,,
70133,18,Abies,,
163603,18,Abies alba,European Silver-fir,Silver Fir
144721,18,Abies amabilis,,
105771,18,Abies cephalonica,Greek Fir,
242784,18,Abies cilicica,Cilician Fir,
166205,18,Abies concolor,Colorado White-fir,Low's Fir
181691,18,Abies concolor var. lowiana,,
108641,18,Abies delavayi,Delavay's Silver-fir,
20709,18,Abies firma,Momi Fir,
38772,18,Abies forrestii,,
366135,18,Abies fraseri,Fraser Fir,
18944,18,Abies grandis,Giant Fir,Grand Fir
257808,18,Abies homolepis,Nikko Fir,
251414,18,Abies koreana,Korean Fir,
94040,18,Abies lasiocarpa,Subalpine Fir,
106236,18,Abies nordmanniana,Caucasian Fir,
206448,18,Abies pinsapo,Spanish Fir,
244195,18,Abies procera,Noble Fir,
110953,18,Abies veitchii,Veitch's Silver-fir,
108208,16,Abietinaria,,
127405,16,Abietinaria abietina,,
57510,16,Abietinaria filicula,,
291004,75,Abietinella,,
288402,75,Abietinella abietina,,
290074,75,Abietinella abietina var. abietina,Fir Tamarisk-moss,
242569,75,Abietinella abietina var. hystricosa,Prickly Tamarisk-moss,
14400,63,Ablabesmyia,,
153116,63,Ablabesmyia longistyla,,
212660,63,Ablabesmyia monilis,,
226874,63,Ablabesmyia phatta,,
157235,48,Ablaxia,,
111762,48,Ablaxia anaxenor,,
176246,48,Ablaxia megachlora,,
220805,48,Ablaxia parviclava,,
236770,48,Ablaxia squamifera,,
74501,48,Ablaxia temporalis,,
158402,86,Ablechroiulus,,
